Type of Credit,Bond Series,Ratings,BPA Sale Date,Series Original Final Maturity,Principal Amount at Issuance,Outstanding Fixed Rate Par,Outstanding Variable Rate Par,Outstanding Synthetic Fixed Par,Total Outstanding Par,TIC,Posted Date
Payroll Mobility Tax Obligations,2022A BANS,(NAF/AA+/AA+/AA+),09/01/2022,08/15/2024,951.37,951.37,0.00,0.00,951.37,0.0241,04/11/2023
Payroll Mobility Tax Obligations,2022C,(NAF/AA+/AA+/AA+),05/12/2022,05/15/2057,927.95,927.95,0.00,0.00,927.95,0.0448,04/11/2023
Transportation Revenue Bonds,2012B,(A3/BBB+/A-/AA),03/15/2012,11/15/2039,250.00,77.22,0.00,0.00,77.22,0.0385,04/11/2023
Transportation Revenue Bonds,2012A,(A3/BBB+/A-/AA),03/15/2012,11/15/2042,150.00,50.00,100.00,0.00,150.00,0.0227,04/11/2023
Transportation Revenue Bonds,2010E,(A3/BBB+/A-/AA),12/29/2010,11/15/2040,750.00,582.35,0.00,0.00,582.35,0.0457,04/11/2023
Transportation Revenue Bonds,2010C,(A3/BBB+/A-/AA),07/07/2010,11/15/2040,510.48,382.18,0.00,0.00,382.18,0.0427,04/11/2023
Transportation Revenue Bonds,2010B,(A3/BBB+/A-/AA),02/11/2010,11/15/2039,656.98,547.73,0.00,0.00,547.73,0.0429,04/11/2023
Transportation Revenue Bonds,2010A,(A3/BBB+/A-/AA),01/13/2010,11/15/2039,363.94,363.94,0.00,0.00,363.94,0.0444,04/11/2023
Dedicated Tax Fund Bonds,2010A,(NAF/AA/AA/NAF),03/25/2010,11/15/2040,502.99,388.33,0.00,0.00,388.33,0.0391,03/16/2023
Transportation Revenue Bonds,2019D,(A3/BBB+/A-/AA),11/07/2019,11/15/2048,241.74,241.74,0.00,0.00,241.74,0.0362,03/16/2023
Transportation Revenue Bonds,2020A,(A3/BBB+/A-/AA),01/16/2020,11/15/2054,924.75,924.75,0.00,0.00,924.75,0.0346,03/16/2023
Transportation Revenue Bonds,2020B,(A3/BBB+/A-/AA),03/27/2020,11/15/2046,162.66,0.00,121.86,0.00,121.86,0.0246,03/16/2023
Transportation Revenue Bonds,2020C,(A3/BBB+/A-/AA),05/14/2020,11/15/2055,1725.00,1725.00,0.00,0.00,1725.00,0.0517,03/16/2023
Transportation Revenue Bonds,2020D,(A3/BBB+/A-/AA),09/18/2020,11/15/2050,900.00,900.00,0.00,0.00,900.00,0.0449,03/16/2023
Transportation Revenue Bonds,2020E,(A3/BBB+/A-/AA),11/13/2020,11/15/2045,419.92,419.92,0.00,0.00,419.92,0.0401,03/16/2023
Transportation Revenue Bonds,2021A,(A3/BBB+/A-/AA),02/12/2021,11/15/2050,700.00,700.00,0.00,0.00,700.00,0.0305,03/16/2023
TBTA General Revenue Bonds,2001C,(Aa3/AA-/AA-/AA),12/19/2001,01/01/2032,148.20,0.00,68.56,7.00,75.56,0.0226,03/16/2023
TBTA General Revenue Bonds,2002F,(Aa3/AA-/AA-/AA),11/13/2002,11/01/2032,246.48,102.94,0.00,0.00,102.94,0.0118,03/16/2023
TBTA General Revenue Bonds,2003B,(Aa3/AA-/AA-/AA),12/10/2003,01/01/2033,250.00,0.00,58.61,59.82,118.42,0.0259,03/16/2023
TBTA General Revenue Bonds,2005A,(Aa3/AA-/AA-/AA),05/11/2005,11/01/2041,150.00,0.00,86.56,15.52,102.07,0.0196,03/16/2023
TBTA General Revenue Bonds,2005B,(Aa3/AA-/AA-/AA),07/07/2005,01/01/2032,800.00,0.00,0.00,555.00,555.00,0.0373,03/16/2023
TBTA General Revenue Bonds,2008B,(Aa3/AA-/AA-/AA),03/27/2008,11/15/2038,252.23,126.75,0.00,0.00,126.75,0.0274,03/16/2023
Payroll Mobility Tax Obligations,2022B,(NAF/AA+/AA+/AA+),08/18/2022,05/15/2042,1000.02,1000.02,0.00,0.00,1000.02,0.0282,03/16/2023
Payroll Mobility Tax Obligations,2022A,(NAF/AA+/AA+/AA+),02/10/2022,05/15/2057,592.68,592.68,0.00,0.00,592.68,0.0318,03/16/2023
Payroll Mobility Tax Obligations,2021C,(NAF/AA+/AA+/AA+),09/30/2021,05/15/2051,853.63,848.22,0.00,0.00,848.22,0.0288,03/16/2023
Payroll Mobility Tax Obligations,2021B,(NAF/AA+/AA+/AA+),08/31/2021,05/15/2056,369.20,369.20,0.00,0.00,369.20,0.0353,03/16/2023
Payroll Mobility Tax Obligations,2021A,(NAF/AA+/AA+/AA+),05/05/2021,05/15/2051,1238.21,1238.21,0.00,0.00,1238.21,0.0202,03/16/2023
Transportation Revenue Bonds,2019C,(A3/BBB+/A-/AA),08/14/2019,11/15/2049,422.43,422.43,0.00,0.00,422.43,0.0339,03/16/2023
Transportation Revenue Bonds,2012C,(A3/BBB+/A-/AA),05/03/2012,11/15/2047,727.43,63.01,0.00,0.00,63.01,0.0422,03/16/2023
Transportation Revenue Bonds,2012E,(A3/BBB+/A-/AA),07/20/2012,11/15/2042,650.00,136.09,0.00,0.00,136.09,0.0391,03/16/2023
Transportation Revenue Bonds,2012F,(A3/BBB+/A-/AA),09/28/2012,11/15/2030,1268.44,20.00,0.00,0.00,20.00,0.0317,03/16/2023
Transportation Revenue Bonds,2012G,(A3/BBB+/A-/AA),11/13/2012,11/01/2032,359.45,0.00,0.00,355.08,355.08,0.0443,03/16/2023
Transportation Revenue Bonds,2012H,(A3/BBB+/A-/AA),11/15/2012,11/15/2042,350.00,40.77,0.00,0.00,40.77,0.037,03/16/2023
Transportation Revenue Bonds,2013A,(A3/BBB+/A-/AA),01/24/2013,11/15/2043,500.00,252.26,0.00,0.00,252.26,0.0379,03/16/2023
Transportation Revenue Bonds,2013B,(A3/BBB+/A-/AA),04/02/2013,11/15/2043,500.00,277.93,0.00,0.00,277.93,0.0408,03/16/2023
Transportation Revenue Bonds,2013C,(A3/BBB+/A-/AA),06/11/2013,11/15/2043,500.00,275.38,0.00,0.00,275.38,0.0425,03/16/2023
Transportation Revenue Bonds,2013D,(A3/BBB+/A-/AA),07/11/2013,11/15/2043,333.79,175.41,0.00,0.00,175.41,0.0463,03/16/2023
Transportation Revenue Bonds,2013E,(A3/BBB+/A-/AA),11/15/2013,11/15/2043,500.00,298.96,0.00,0.00,298.96,0.0464,03/16/2023
Transportation Revenue Bonds,2014A,(A3/BBB+/A-/AA),02/28/2014,11/15/2044,400.00,173.38,0.00,0.00,173.38,0.0431,03/16/2023
Transportation Revenue Bonds,2014B,(A3/BBB+/A-/AA),04/17/2014,11/15/2044,500.00,358.92,0.00,0.00,358.92,0.0438,03/16/2023
Transportation Revenue Bonds,2014C,(A3/BBB+/A-/AA),06/26/2014,11/15/2036,500.00,195.52,0.00,0.00,195.52,0.0332,03/16/2023
Transportation Revenue Bonds,2014D,(A3/BBB+/A-/AA),11/04/2014,11/15/2044,500.00,295.46,0.00,0.00,295.46,0.0426,03/16/2023
Transportation Revenue Bonds,2015A,(A3/BBB+/A-/AA),01/22/2015,11/15/2045,850.00,723.96,0.00,0.00,723.96,0.0414,03/16/2023
Transportation Revenue Bonds,2019B,(A3/BBB+/A-/AA),05/14/2019,11/15/2052,177.18,177.18,0.00,0.00,177.18,0.0383,03/16/2023
Payroll Mobility Tax Obligations,2020A BANS,(NAF/AA+/AA+/AA+),12/17/2020,12/15/2023,2907.28,2907.28,0.00,0.00,2907.28,0.0136,03/16/2023
Dedicated Tax Fund Bonds,2008A,(NAF/AA/AA/NAF),06/25/2008,11/01/2031,352.92,0.00,3.93,257.50,261.42,0.039,03/16/2023
TBTA Second Subordinate BANs,2021A BANS,(A1/NAF/A+/NAF),06/10/2021,11/01/2025,192.84,192.84,0.00,0.00,192.84,0.0069,03/16/2023
TBTA Subordinate Revenue Bonds,2013D Taxable,(A1/A+/A+/AA-),12/19/2013,11/15/2032,313.98,59.29,0.00,0.00,59.29,0.0389,03/16/2023
TBTA Subordinate Revenue Bonds,2013A,(A1/A+/A+/AA-),01/29/2013,11/15/2032,653.96,291.49,0.00,0.00,291.49,0.0313,03/16/2023
TBTA General Revenue Bonds,2023A,(Aa3/AA-/AA-/AA),02/14/2023,11/15/2039,828.22,828.22,0.00,0.00,828.22,0.0282,03/16/2023
TBTA General Revenue Bonds,2022A,(Aa3/AA-/AA-/AA),08/18/2022,11/15/2057,400.00,400.00,0.00,0.00,400.00,0.0436,03/16/2023
TBTA General Revenue Bonds,2021A,(Aa3/AA-/AA-/AA),03/31/2021,11/15/2056,400.00,400.00,0.00,0.00,400.00,0.0356,03/16/2023
TBTA General Revenue Bonds,2020A,(Aa3/AA-/AA-/AA),05/27/2020,11/15/2054,525.00,525.00,0.00,0.00,525.00,0.0364,03/16/2023
TBTA General Revenue Bonds,2019C,(Aa3/AA-/AA-/AA),12/03/2019,11/15/2048,200.00,200.00,0.00,0.00,200.00,0.0304,03/16/2023
TBTA General Revenue Bonds,2019B Taxable,(Aa3/AA-/AA-/AA),09/25/2019,11/15/2044,102.46,102.46,0.00,0.00,102.46,0.0349,03/16/2023
TBTA General Revenue Bonds,2019A,(Aa3/AA-/AA-/AA),05/23/2019,11/15/2049,150.00,150.00,0.00,0.00,150.00,0.0371,03/16/2023
TBTA General Revenue Bonds,2018E Taxable,(Aa3/AA-/AA-/AA),12/12/2018,11/15/2032,148.47,0.00,23.29,125.18,148.47,0.0386,03/16/2023
TBTA General Revenue Bonds,2018D,(Aa3/AA-/AA-/AA),10/04/2018,11/15/2038,125.00,98.98,0.00,0.00,98.98,0.0258,03/16/2023
TBTA General Revenue Bonds,2018C,(Aa3/AA-/AA-/AA),08/30/2018,11/15/2038,159.28,159.28,0.00,0.00,159.28,0.0366,03/16/2023
TBTA General Revenue Bonds,2018B,(Aa3/AA-/AA-/AA),08/30/2018,11/15/2031,270.09,270.09,0.00,0.00,270.09,0.0275,03/16/2023
Dedicated Tax Fund Bonds,2022A,(NAF/AA/AA/NAF),03/01/2022,11/15/2052,377.96,377.96,0.00,0.00,377.96,0.0327,03/16/2023
Dedicated Tax Fund Bonds,2017B,(NAF/AA/AA/NAF),05/17/2017,11/15/2057,680.26,672.55,0.00,0.00,672.55,0.0356,03/16/2023
Dedicated Tax Fund Bonds,2017A,(NAF/AA/AA/NAF),02/23/2017,11/15/2047,312.82,296.54,0.00,0.00,296.54,0.0397,03/16/2023
Dedicated Tax Fund Bonds,2016B,(NAF/AA/AA/NAF),05/26/2016,11/15/2056,588.30,561.24,0.00,0.00,561.24,0.0336,03/16/2023
Dedicated Tax Fund Bonds,2016A,(NAF/AA/AA/NAF),03/10/2016,11/15/2036,579.96,515.60,0.00,0.00,515.60,0.0298,03/16/2023
Dedicated Tax Fund Bonds,2012A,(NAF/AA/AA/NAF),10/25/2012,11/15/2032,959.47,272.08,0.00,0.00,272.08,0.0307,03/16/2023
Dedicated Tax Fund Bonds,2009C,(NAF/AA/AA/NAF),04/30/2009,11/15/2039,750.00,750.00,0.00,0.00,750.00,0.0489,03/16/2023
Dedicated Tax Fund Bonds,2008B,(NAF/AA/AA/NAF),08/07/2008,11/01/2034,348.18,151.22,44.74,0.00,195.96,0.0276,03/16/2023
TBTA General Revenue Bonds,2018A,(Aa3/AA-/AA-/AA),02/01/2018,11/15/2048,351.93,351.93,0.00,0.00,351.93,0.0384,03/16/2023
TBTA General Revenue Bonds,2017C,(Aa3/AA-/AA-/AA),11/17/2017,11/15/2042,720.99,720.99,0.00,0.00,720.99,0.0281,03/16/2023
TBTA General Revenue Bonds,2017B,(Aa3/AA-/AA-/AA),01/19/2017,11/15/2038,902.98,902.98,0.00,0.00,902.98,0.0348,03/16/2023
TBTA General Revenue Bonds,2017A,(Aa3/AA-/AA-/AA),01/19/2017,11/15/2047,300.00,286.58,0.00,0.00,286.58,0.0371,03/16/2023
TBTA General Revenue Bonds,2016A,(Aa3/AA-/AA-/AA),01/28/2016,11/15/2046,541.24,485.30,0.00,0.00,485.30,0.0324,03/16/2023
TBTA General Revenue Bonds,2015B,(Aa3/AA-/AA-/AA),11/16/2015,11/15/2045,65.00,56.12,0.00,0.00,56.12,0.0388,03/16/2023
TBTA General Revenue Bonds,2015A,(Aa3/AA-/AA-/AA),05/15/2015,11/15/2050,225.00,182.89,0.00,0.00,182.89,0.0418,03/16/2023
TBTA General Revenue Bonds,2014A,(Aa3/AA-/AA-/AA),02/06/2014,11/15/2044,250.00,175.66,0.00,0.00,175.66,0.0428,03/16/2023
TBTA General Revenue Bonds,2013C,(Aa3/AA-/AA-/AA),04/18/2013,11/15/2043,200.00,15.00,0.00,0.00,15.00,0.0371,03/16/2023
TBTA General Revenue Bonds,2013B,(Aa3/AA-/AA-/AA),01/29/2013,11/15/2030,257.20,129.50,0.00,0.00,129.50,0.0225,03/16/2023
TBTA General Revenue Bonds,2012B,(Aa3/AA-/AA-/AA),08/23/2012,11/15/2032,1236.90,231.50,0.00,0.00,231.50,0.0266,03/16/2023
TBTA General Revenue Bonds,2012A,(Aa3/AA-/AA-/AA),06/06/2012,11/15/2042,231.49,38.08,0.00,0.00,38.08,0.0369,03/16/2023
TBTA General Revenue Bonds,2010A,(Aa3/AA-/AA-/AA),10/28/2010,11/15/2040,346.96,263.02,0.00,0.00,263.02,0.0345,03/16/2023
TBTA General Revenue Bonds,2009B,(Aa3/AA-/AA-/AA),09/17/2009,11/15/2039,200.00,200.00,0.00,0.00,200.00,0.0363,03/16/2023
TBTA General Revenue Bonds,2009A,(Aa3/AA-/AA-/AA),02/18/2009,11/15/2038,475.00,1.54,0.00,0.00,1.54,0.0325,03/16/2023
Transportation Revenue Bonds,2019A,(A3/BBB+/A-/AA),02/06/2019,11/15/2048,454.15,454.15,0.00,0.00,454.15,0.0416,03/16/2023
Transportation Revenue Bonds,2018B,(A3/BBB+/A-/AA),08/23/2018,11/15/2028,207.22,170.48,0.00,0.00,170.48,0.0271,03/16/2023
Transportation Revenue Bonds,2017D,(A3/BBB+/A-/AA),12/21/2017,11/15/2047,643.10,643.10,0.00,0.00,643.10,0.0351,03/16/2023
Transportation Revenue Bonds,2002D,(A3/BBB+/A-/AA),05/30/2002,11/01/2032,400.00,7.88,0.00,200.00,207.88,0.0525,03/16/2023
Transportation Revenue Bonds,2002G,(A3/BBB+/A-/AA),11/20/2002,11/01/2026,400.00,0.00,17.46,46.80,64.27,0.0359,03/16/2023
Transportation Revenue Bonds,2003A,(A3/BBB+/A-/AA),05/14/2003,11/15/2032,475.34,17.46,0.00,0.00,17.46,0.0449,03/16/2023
Transportation Revenue Bonds,2005B,(A3/BBB+/A-/AA),07/01/2005,11/15/2035,750.00,52.89,0.00,0.00,52.89,0.048,03/16/2023
Transportation Revenue Bonds,2005D,(A3/BBB+/A-/AA),11/02/2005,11/01/2035,250.00,0.00,0.00,187.70,187.70,0.0423,03/16/2023
Transportation Revenue Bonds,2005E,(A3/BBB+/A-/AA),11/02/2005,11/01/2035,250.00,0.00,75.08,112.60,187.68,0.0327,03/16/2023
Transportation Revenue Bonds,2006B,(A3/BBB+/A-/AA),12/20/2006,11/15/2036,717.73,72.64,0.00,0.00,72.64,0.0452,03/16/2023
Transportation Revenue Bonds,2008B,(A3/BBB+/A-/AA),02/21/2008,11/15/2030,487.53,17.39,0.00,0.00,17.39,0.038,03/16/2023
Transportation Revenue Bonds,2009A,(A3/BBB+/A-/AA),10/15/2009,11/15/2039,502.32,325.00,0.00,0.00,325.00,0.0379,03/16/2023
Transportation Revenue Bonds,2010A,(A3/BBB+/A-/AA),01/13/2010,11/15/2039,363.94,363.94,0.00,0.00,363.94,0.0444,03/16/2023
Transportation Revenue Bonds,2017C,(A3/BBB+/A-/AA),12/14/2017,11/15/2040,2021.46,2172.94,0.00,0.00,2172.94,0.0312,03/16/2023
Transportation Revenue Bonds,2017B,(A3/BBB+/A-/AA),09/28/2017,11/15/2028,662.02,571.44,0.00,0.00,571.44,0.0198,03/16/2023
Transportation Revenue Bonds,2017A,(A3/BBB+/A-/AA),03/16/2017,11/15/2057,325.58,314.35,0.00,0.00,314.35,0.0377,03/16/2023
Transportation Revenue Bonds,2015B,(A3/BBB+/A-/AA),03/19/2015,11/15/2055,275.06,245.73,0.00,0.00,245.73,0.0429,03/16/2023
Transportation Revenue Bonds,2015C,(A3/BBB+/A-/AA),08/18/2015,11/15/2035,550.00,477.11,0.00,0.00,477.11,0.0368,03/16/2023
Transportation Revenue Bonds,2015D,(A3/BBB+/A-/AA),09/17/2015,11/15/2035,407.70,287.54,0.00,0.00,287.54,0.0367,03/16/2023
Transportation Revenue Bonds,2015E,(A3/BBB+/A-/AA),09/10/2015,11/15/2050,650.00,0.00,496.19,0.00,496.19,0.0159,03/16/2023
Transportation Revenue Bonds,2015F,(A3/BBB+/A-/AA),12/17/2015,11/15/2036,330.43,262.40,0.00,0.00,262.40,0.0321,03/16/2023
Transportation Revenue Bonds,2016A,(A3/BBB+/A-/AA),02/25/2016,11/15/2056,782.52,643.07,0.00,0.00,643.07,0.0354,03/16/2023
Transportation Revenue Bonds,2016B,(A3/BBB+/A-/AA),06/30/2016,11/15/2037,673.99,520.72,0.00,0.00,520.72,0.029,03/16/2023
Payroll Mobility Tax Obligations,2022C,(NAF/AA+/AA+/AA+),05/12/2022,05/15/2057,927.95,927.95,0.00,0.00,927.95,0.0448,03/16/2023
Transportation Revenue Bonds,2016D,(A3/BBB+/A-/AA),10/26/2016,11/15/2035,645.66,420.92,0.00,0.00,420.92,0.0287,03/16/2023
Transportation Revenue Bonds,2016C,(A3/BBB+/A-/AA),07/28/2016,11/15/2056,863.86,558.14,0.00,0.00,558.14,0.0352,03/16/2023
Hudson Rail Yards Trust Obligations,2020A,(A3/NAF/NAF/A-),03/27/2020,11/15/2046,162.66,121.86,0.00,0.00,121.86,0.0428,03/16/2023
Hudson Rail Yards Trust Obligations,2016A,(A3/NAF/NAF/A-),09/22/2016,11/15/2056,1057.43,682.43,0.00,0.00,682.43,0.0428,03/16/2023
State Service Contract Bonds,2002A,(AA/AA),06/05/2002,07/01/2031,0.00,0.00,0.00,0.00,0.00,0,03/16/2023
Payroll Mobility Tax Obligations,2022A BANS,(NAF/AA+/AA+/AA+),09/01/2022,08/15/2024,951.37,951.37,0.00,0.00,951.37,0.0241,03/16/2023
Payroll Mobility Tax Obligations,2022D,(NAF/AA+/AA+/AA+),09/15/2022,05/15/2052,748.68,765.69,0.00,0.00,765.69,0.0452,03/16/2023
Payroll Mobility Tax Obligations,2022E,(NAF/AA+/AA+/AA+),11/01/2022,11/15/2057,700.20,600.64,11.23,88.33,700.20,0.0432,03/16/2023
Payroll Mobility Tax Obligations,2022B BANS,(NAF/AA+/AA+/AA+),12/15/2022,12/16/2024,766.54,766.54,0.00,0.00,766.54,0.0275,03/16/2023
Payroll Mobility Tax Obligations,2023A,(NAF/AA+/AA+/AA+),01/12/2023,11/15/2037,764.95,764.95,0.00,0.00,764.95,0.031,03/16/2023
Sales Tax Revenue Bonds,2022A,(NAF/AA+/AAA/NAF),07/20/2022,05/15/2062,700.00,700.00,0.00,0.00,700.00,0.0438,03/16/2023
Sales Tax Revenue Bonds,2023A,(NAF/AA+/AAA/NAF),03/15/2023,05/15/2063,1253.75,1253.75,0.00,0.00,1253.75,0.0458,03/16/2023
Transportation Revenue Bonds,2012B,(A3/BBB+/A-/AA),03/15/2012,11/15/2039,250.00,77.22,0.00,0.00,77.22,0.0385,03/16/2023
Transportation Revenue Bonds,2012A,(A3/BBB+/A-/AA),03/15/2012,11/15/2042,150.00,50.00,100.00,0.00,150.00,0.0226,03/16/2023
Transportation Revenue Bonds,2010E,(A3/BBB+/A-/AA),12/29/2010,11/15/2040,750.00,582.35,0.00,0.00,582.35,0.0457,03/16/2023
Transportation Revenue Bonds,2010C,(A3/BBB+/A-/AA),07/07/2010,11/15/2040,510.48,382.18,0.00,0.00,382.18,0.0427,03/16/2023
Transportation Revenue Bonds,2010B,(A3/BBB+/A-/AA),02/11/2010,11/15/2039,656.98,547.73,0.00,0.00,547.73,0.0429,03/16/2023
TBTA General Revenue Bonds,2020A,(Aa3/AA-/AA-/AA),05/27/2020,11/15/2054,525.00,525.00,0.00,0.00,525.00,0.0364,02/14/2023
TBTA General Revenue Bonds,2019C,(Aa3/AA-/AA-/AA),12/03/2019,11/15/2048,200.00,200.00,0.00,0.00,200.00,0.0304,02/14/2023
TBTA General Revenue Bonds,2019B Taxable,(Aa3/AA-/AA-/AA),09/25/2019,11/15/2044,102.46,102.46,0.00,0.00,102.46,0.0349,02/14/2023
TBTA General Revenue Bonds,2019A,(Aa3/AA-/AA-/AA),05/23/2019,11/15/2049,150.00,150.00,0.00,0.00,150.00,0.0371,02/14/2023
TBTA General Revenue Bonds,2018E Taxable,(Aa3/AA-/AA-/AA),12/12/2018,11/15/2032,148.47,0.00,23.29,125.18,148.47,0.038,02/14/2023
TBTA General Revenue Bonds,2018D,(Aa3/AA-/AA-/AA),10/04/2018,11/15/2038,125.00,98.98,0.00,0.00,98.98,0.0258,02/14/2023
TBTA General Revenue Bonds,2018C,(Aa3/AA-/AA-/AA),08/30/2018,11/15/2038,159.28,159.28,0.00,0.00,159.28,0.0366,02/14/2023
TBTA General Revenue Bonds,2018B,(Aa3/AA-/AA-/AA),08/30/2018,11/15/2031,270.09,270.09,0.00,0.00,270.09,0.0275,02/14/2023
Transportation Revenue Bonds,2010E,(A3/BBB+/A-/AA),12/29/2010,11/15/2040,750.00,582.35,0.00,0.00,582.35,0.0457,02/14/2023
Transportation Revenue Bonds,2010C,(A3/BBB+/A-/AA),07/07/2010,11/15/2040,510.48,382.18,0.00,0.00,382.18,0.0427,02/14/2023
Transportation Revenue Bonds,2015A,(A3/BBB+/A-/AA),01/22/2015,11/15/2045,850.00,723.96,0.00,0.00,723.96,0.0414,02/14/2023
Transportation Revenue Bonds,2014D,(A3/BBB+/A-/AA),11/04/2014,11/15/2044,500.00,295.46,0.00,0.00,295.46,0.0426,02/14/2023
Transportation Revenue Bonds,2010B,(A3/BBB+/A-/AA),02/11/2010,11/15/2039,656.98,547.73,0.00,0.00,547.73,0.0429,02/14/2023
Transportation Revenue Bonds,2010A,(A3/BBB+/A-/AA),01/13/2010,11/15/2039,363.94,363.94,0.00,0.00,363.94,0.0444,02/14/2023
Transportation Revenue Bonds,2009A,(A3/BBB+/A-/AA),10/15/2009,11/15/2039,502.32,325.00,0.00,0.00,325.00,0.0379,02/14/2023
Transportation Revenue Bonds,2008B,(A3/BBB+/A-/AA),02/21/2008,11/15/2030,487.53,17.39,0.00,0.00,17.39,0.038,02/14/2023
Dedicated Tax Fund Bonds,2008B,(NAF/AA/AA/NAF),08/07/2008,11/01/2034,348.18,151.22,44.74,0.00,195.96,0.0276,02/14/2023
Dedicated Tax Fund Bonds,2009C,(NAF/AA/AA/NAF),04/30/2009,11/15/2039,750.00,750.00,0.00,0.00,750.00,0.0489,02/14/2023
Dedicated Tax Fund Bonds,2010A,(NAF/AA/AA/NAF),03/25/2010,11/15/2040,502.99,388.33,0.00,0.00,388.33,0.0391,02/14/2023
Dedicated Tax Fund Bonds,2012A,(NAF/AA/AA/NAF),10/25/2012,11/15/2032,959.47,272.08,0.00,0.00,272.08,0.0307,02/14/2023
Dedicated Tax Fund Bonds,2016A,(NAF/AA/AA/NAF),03/10/2016,11/15/2036,579.96,515.60,0.00,0.00,515.60,0.0298,02/14/2023
Dedicated Tax Fund Bonds,2016B,(NAF/AA/AA/NAF),05/26/2016,11/15/2056,588.30,561.24,0.00,0.00,561.24,0.0336,02/14/2023
Dedicated Tax Fund Bonds,2017A,(NAF/AA/AA/NAF),02/23/2017,11/15/2047,312.82,296.54,0.00,0.00,296.54,0.0397,02/14/2023
Dedicated Tax Fund Bonds,2017B,(NAF/AA/AA/NAF),05/17/2017,11/15/2057,680.26,672.55,0.00,0.00,672.55,0.0356,02/14/2023
Dedicated Tax Fund Bonds,2022A,(NAF/AA/AA/NAF),03/01/2022,11/15/2052,377.96,377.96,0.00,0.00,377.96,0.0327,02/14/2023
Payroll Mobility Tax Obligations,2020A BANS,(NAF/AA+/AA+/AA+),12/17/2020,12/15/2023,2907.28,2907.28,0.00,0.00,2907.28,0.0136,02/14/2023
Payroll Mobility Tax Obligations,2021A,(NAF/AA+/AA+/AA+),05/05/2021,05/15/2051,1238.21,1238.21,0.00,0.00,1238.21,0.0202,02/14/2023
Payroll Mobility Tax Obligations,2021B,(NAF/AA+/AA+/AA+),08/31/2021,05/15/2056,369.20,369.20,0.00,0.00,369.20,0.0353,02/14/2023
Payroll Mobility Tax Obligations,2021C,(NAF/AA+/AA+/AA+),09/30/2021,05/15/2051,853.63,848.22,0.00,0.00,848.22,0.0288,02/14/2023
Payroll Mobility Tax Obligations,2022A,(NAF/AA+/AA+/AA+),02/10/2022,05/15/2057,592.68,592.68,0.00,0.00,592.68,0.0318,02/14/2023
Payroll Mobility Tax Obligations,2022B,(NAF/AA+/AA+/AA+),08/18/2022,05/15/2042,1000.02,1000.02,0.00,0.00,1000.02,0.0282,02/14/2023
Transportation Revenue Bonds,2006B,(A3/BBB+/A-/AA),12/20/2006,11/15/2036,717.73,72.64,0.00,0.00,72.64,0.0452,02/14/2023
Transportation Revenue Bonds,2005E,(A3/BBB+/A-/AA),11/02/2005,11/01/2035,250.00,0.00,75.08,112.60,187.68,0.0328,02/14/2023
Transportation Revenue Bonds,2002D,(A3/BBB+/A-/AA),05/30/2002,11/01/2032,400.00,7.88,0.00,200.00,207.88,0.0524,02/14/2023
Transportation Revenue Bonds,2005D,(A3/BBB+/A-/AA),11/02/2005,11/01/2035,250.00,0.00,0.00,187.70,187.70,0.0423,02/14/2023
Transportation Revenue Bonds,2014C,(A3/BBB+/A-/AA),06/26/2014,11/15/2036,500.00,195.52,0.00,0.00,195.52,0.0332,02/14/2023
Transportation Revenue Bonds,2014B,(A3/BBB+/A-/AA),04/17/2014,11/15/2044,500.00,358.92,0.00,0.00,358.92,0.0438,02/14/2023
Transportation Revenue Bonds,2014A,(A3/BBB+/A-/AA),02/28/2014,11/15/2044,400.00,173.38,0.00,0.00,173.38,0.0431,02/14/2023
Transportation Revenue Bonds,2013E,(A3/BBB+/A-/AA),11/15/2013,11/15/2043,500.00,298.96,0.00,0.00,298.96,0.0464,02/14/2023
Transportation Revenue Bonds,2013D,(A3/BBB+/A-/AA),07/11/2013,11/15/2043,333.79,175.41,0.00,0.00,175.41,0.0463,02/14/2023
Transportation Revenue Bonds,2013C,(A3/BBB+/A-/AA),06/11/2013,11/15/2043,500.00,275.38,0.00,0.00,275.38,0.0425,02/14/2023
Transportation Revenue Bonds,2013B,(A3/BBB+/A-/AA),04/02/2013,11/15/2043,500.00,277.93,0.00,0.00,277.93,0.0408,02/14/2023
Transportation Revenue Bonds,2013A,(A3/BBB+/A-/AA),01/24/2013,11/15/2043,500.00,252.26,0.00,0.00,252.26,0.0379,02/14/2023
Transportation Revenue Bonds,2012H,(A3/BBB+/A-/AA),11/15/2012,11/15/2042,350.00,40.77,0.00,0.00,40.77,0.037,02/14/2023
Transportation Revenue Bonds,2012G,(A3/BBB+/A-/AA),11/13/2012,11/01/2032,359.45,0.00,0.00,355.08,355.08,0.0443,02/14/2023
Transportation Revenue Bonds,2012F,(A3/BBB+/A-/AA),09/28/2012,11/15/2030,1268.44,20.00,0.00,0.00,20.00,0.0317,02/14/2023
Transportation Revenue Bonds,2012E,(A3/BBB+/A-/AA),07/20/2012,11/15/2042,650.00,136.09,0.00,0.00,136.09,0.0391,02/14/2023
Transportation Revenue Bonds,2012C,(A3/BBB+/A-/AA),05/03/2012,11/15/2047,727.43,63.01,0.00,0.00,63.01,0.0422,02/14/2023
Transportation Revenue Bonds,2002G,(A3/BBB+/A-/AA),11/20/2002,11/01/2026,400.00,0.00,17.46,46.80,64.27,0.0356,02/14/2023
